,CNG ONLY,,,,DIESEL/HYBRID,,,,ELECTRIC(BOV),,,,LPG ONLY,,,,PETROL/CNG,,,,PETROL/ETHANOL,,,,PETROL/HYBRID,,,,PETROL/LPG,,,
State,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023,2020,2021,2022,2023
ANDAMAN & NICOBAR ISLAND,0,0,0,0,0,0,0,0,36,92,23,26,0,0,0,0,0,0,0,0,0,0,0,178,20,14,28,171,0,0,0,0
ANDHRA PRADESH,400,"1,713","5,934","11,535",1,0,7,33,"1,643","9,677","29,358","32,850",2,1,0,0,"1,286","2,052","3,853","4,958",0,0,0,"15,675",3,6,"2,783","10,789",81,58,25,4
ARUNACHAL PRADESH,7,5,3,4,4,0,0,2,4,2,2,21,0,0,0,0,9,3,5,12,1,0,0,"1,434",48,100,265,"1,029",2,0,2,0
ASSAM,2,3,63,501,26,0,4,21,"8,357","15,632","40,700","60,793",0,0,0,0,40,11,21,69,0,0,0,"24,041","1,803","2,258","3,969","7,966",0,0,0,0
BIHAR,"1,000","7,244","18,685","27,819",34,1,3,6,"12,447","23,085","55,753","88,219",0,62,571,"2,597","2,779","3,247","5,505","5,909",0,0,0,"15,624","1,696","2,845","4,301","5,799",85,28,20,35
CHANDIGARH,49,176,256,122,10,0,15,79,369,735,"2,720","6,414",0,0,0,0,419,763,994,544,0,0,0,202,521,806,"1,527","3,751",0,0,0,0
CHHATTISGARH,0,1,6,1,21,0,10,44,"1,489","4,216","22,363","38,243",6,28,79,162,0,3,7,7,0,0,0,"3,070","2,791","3,860","5,632","8,403",160,34,10,8
DELHI,"13,910","25,429","33,764","26,867",32,0,18,41,"12,377","25,811","62,249","73,672",0,0,0,0,"23,617","26,749","34,873","38,973",0,0,0,"6,335","5,309","6,323","13,115","24,050",0,0,0,0
GOA,38,159,222,155,3,0,11,16,82,"1,095","5,686","9,483",0,0,1,0,86,210,527,981,0,0,0,"6,670",745,874,"1,491","2,802",0,0,1,0
GUJARAT,"5,274","31,591","50,072","76,349",148,0,110,443,"1,123","9,763","68,993","88,615",1,0,0,0,"51,108","46,860","74,069","1,07,238",0,0,0,"14,355","7,165","9,517","13,959","22,133",9,1,0,0
HARYANA,"4,455","17,336","26,369","28,391",128,0,20,80,"2,982","8,659","25,858","30,493",0,0,0,0,"34,941","35,418","44,812","61,400",0,0,0,"2,844","2,984","4,597","10,991","22,998",282,249,233,172
HIMACHAL PRADESH,3,74,118,56,28,2,12,44,181,326,"1,011","1,131",0,0,0,0,51,106,230,216,0,0,0,"1,402",705,550,"1,403","3,901",0,0,0,0
JAMMU AND KASHMIR,0,0,0,0,20,0,2,3,74,"1,146","4,689","9,748",0,0,0,0,0,1,3,5,0,0,0,"1,665",460,525,"1,574","3,063",2,0,0,0
JHARKHAND,220,"1,738","4,379","5,212",62,0,3,17,"1,516","3,741","13,681","21,126",5,3,2,203,"1,338","1,375","1,642","1,504",1,0,0,"6,753","2,143","3,045","4,396","5,949",69,2,0,0
KARNATAKA,336,"3,491","16,780","40,997",336,9,71,263,"9,691","33,299","95,846","1,52,689","3,342","4,229","3,311","5,233","3,389","5,578","15,877","21,408",0,0,0,"31,698","9,152","13,596","18,277","32,121","9,226","3,081","1,085",347
KERALA,99,"2,803","9,850","17,178",162,0,68,131,"1,369","8,733","39,623","75,803",52,154,29,17,"1,305","3,180","4,492","4,208",1,0,0,"28,838","6,498","9,062","12,358","20,729",484,251,42,8
LADAKH,0,0,0,0,0,0,0,0,0,6,40,28,0,0,0,0,0,0,0,0,0,0,0,1,13,25,159,269,0,0,0,0
MADHYA PRADESH,"1,130",903,"1,771","10,416",340,1,8,45,"3,361","10,442","36,814","67,972",55,20,5,149,"5,091","10,747","21,101","20,005",0,0,0,"6,083","3,190","4,614","6,975","11,881","2,421","3,198","3,483","1,100"
MAHARASHTRA,"8,090","31,568","48,874","62,988",457,1,156,550,"7,130","29,912","1,36,031","1,94,329","1,287",994,"2,898","6,115","64,929","72,927","1,10,633","1,29,491",0,0,0,"32,607","11,955","18,179","22,158","36,646","4,114","1,341",677,248
MANIPUR,0,0,0,0,11,1,2,1,104,114,341,399,0,0,0,0,2,0,0,0,0,0,0,73,85,196,323,511,0,0,0,0
MEGHALAYA,0,0,0,0,4,0,0,1,3,5,41,115,0,0,0,0,1,0,0,2,0,0,0,"4,546",112,124,295,799,0,0,0,0
MIZORAM,0,0,0,4,4,0,0,0,1,1,36,167,0,0,0,0,0,0,0,0,0,0,0,"2,365",42,39,89,224,0,0,0,0
NAGALAND,3,12,26,16,9,0,0,2,11,2,3,6,0,0,0,0,0,1,1,0,0,0,0,441,86,99,221,"1,033",0,0,0,0
ODISHA,49,238,999,"1,890",23,0,9,42,903,"5,625","28,446","44,550",0,0,0,0,629,705,"1,851","2,677",0,0,1,"15,814","2,536","4,023","6,367","8,982",36,12,0,0
PUDUCHERRY,0,12,15,37,17,0,7,29,90,405,"1,481","2,638",2,14,28,18,5,20,144,284,0,0,0,"2,363",393,582,656,"1,174",36,5,2,0
PUNJAB,342,"3,323","4,207","4,421",75,7,23,79,832,"4,645","14,055","25,745",1,0,0,0,"4,319","5,709","7,742","7,873",0,0,0,924,"1,766","2,411","6,851","13,666",78,1,0,0
RAJASTHAN,368,"4,568","10,594","14,050",254,1,13,76,"5,604","23,466","78,255","93,767",483,901,"1,660","3,088","5,762","9,606","15,952","22,237",1,0,0,"5,215","3,107","4,163","8,362","13,233","5,916","4,092","3,135","1,813"
SIKKIM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,12,19,49,152,0,0,0,0
TAMIL NADU,11,"1,445","12,173","28,048",420,8,81,205,"5,697","30,035","66,993","90,287","1,022","1,689","1,170","2,673",447,"1,703","8,596","13,518",0,0,0,"93,138","9,408","14,678","16,520","24,268","9,774","3,380","1,590",508
TRIPURA,"1,078","2,141","3,054","2,989",3,0,0,0,"3,421","2,434","4,178","6,312",1,0,0,0,"2,425","2,379","2,964","2,920",0,0,0,"1,162",97,117,165,163,0,0,0,0
UT OF DNH AND DD,9,243,392,169,2,0,7,34,24,29,142,161,0,0,0,0,445,584,896,"1,014",0,0,0,119,131,213,359,549,1,0,0,0
UTTARAKHAND,152,"1,089","1,342","2,606",18,1,7,12,"2,394","5,323","15,560","16,798",41,34,74,56,768,"1,990","2,622","3,125",0,0,0,"1,939",642,991,"2,312","4,355",181,11,0,0
UTTAR PRADESH,"6,159","28,810","47,210","57,735",219,3,41,100,"31,270","66,708","1,62,883","2,78,326","1,203","2,129","2,553","3,065","30,914","41,850","67,767","84,749",0,0,0,"13,533","7,649","12,346","18,116","29,313","4,007","2,579",487,317
WEST BENGAL,58,223,280,605,46,0,29,62,"10,081","6,408","11,152","21,431","2,407","3,151","2,027","3,435",304,636,"1,987","4,205",0,0,0,"38,490","3,021","4,974","6,358","8,484","3,060","1,690",942,552
