Sl_No,State_UT,2020,2021,2022,2023,Grand_Total
1.0,Andaman And Nicobar Islands,36.0,92,23,18,169
2.0,Andhra Pradesh,1654.0,9738,29450,29546,70388
3.0,Arunachal Pradesh,5.0,2,2,17,26
4.0,Assam,8357.0,15634,40719,56448,121158
5.0,Bihar,12447.0,23082,55751,79469,170749
6.0,Chandigarh,369.0,734,2721,5753,9577
7.0,Chhattisgarh,1489.0,4215,22364,35115,63183
8.0,Delhi,12377.0,25816,62256,64382,164831
9.0,Goa,82.0,1096,5688,8637,15503
10.0,Gujarat,1120.0,9765,68998,83965,163848
11.0,Haryana,2982.0,8660,25864,27465,64971
12.0,Himachal Pradesh,181.0,327,1008,1003,2519
13.0,Jammu And Kashmir,74.0,1146,4689,8823,14732
14.0,Jharkhand,1516.0,3741,13682,19096,38035
15.0,Karnataka,9707.0,33307,95900,141057,279971
16.0,Kerala,1362.0,8743,39622,69624,119351
17.0,Ladakh,,6,40,28,74
18.0,Madhya Pradesh,3358.0,10427,36804,61678,112267
19.0,Maharashtra,7134.0,29914,136051,178488,351587
20.0,Manipur,104.0,114,341,386,945
21.0,Meghalaya,3.0,5,42,110,160
22.0,Mizoram,1.0,1,36,144,182
23.0,Nagaland,11.0,2,3,6,22
24.0,Odisha,904.0,5626,28446,39839,74815
25.0,Puducherry,88.0,405,1481,2405,4379
26.0,Punjab,832.0,4643,14053,23378,42906
27.0,Rajasthan,5604.0,23464,78238,86376,193682
28.0,Tamil Nadu,5697.0,30030,66953,84252,186932
29.0,Tripura,3421.0,2434,4179,5799,15833
30.0,Dadra And Nagar Haveli And Daman And Diu,24.0,29,141,142,336
31.0,Uttar Pradesh,31268.0,66705,162862,249223,510058
32.0,Uttarakhand,2395.0,5324,15561,15330,38610
33.0,West Bengal,10079.0,6408,11150,17699,45336
,Grand Total,124681.0,331635,1025118,1395701,2877135
